"site","transect","species","straight_length_cm","clam_orientation","density","latitude_dd","longitude_dd","current_orientation","clam_v_current","angle_diff"
"Research Beach ",1,"maxima","12.2",165,2.4,-23.4443816666667,151.91364,106.5,58.5,58.5
"Research Beach ",1,"crocea","20.9",175,2.4,-23.4444066666667,151.91363,106.5,68.5,68.5
"Research Beach ",1,"maxima","10.8",100,2.4,-23.44437,151.913608333333,106.5,6.5,6.5
"Research Beach ",1,"maxima","23.8",205,2.4,-23.4443683333333,151.913611666667,106.5,98.5,98.5
"Research Beach ",1,"crocea","18.4",220,2.4,-23.44433,151.913588333333,106.5,113.5,113.5
"Research Beach ",1,"maxima","7.9",260,2.4,-23.4443316666667,151.913601666667,106.5,153.5,153.5
"Research Beach ",1,"maxima","11",360,2.4,-23.4442866666667,151.913445,106.5,253.5,106.5
"Research Beach ",1,"maxima","21.5",70,2.4,NA,NA,106.5,36.5,36.5
"Research Beach ",1,"crocea","24",150,2.4,-23.4443766666667,151.913525,106.5,43.5,43.5
"Research Beach ",1,"maxima","8.5",200,2.4,-23.444345,151.913425,106.5,93.5,93.5
"Research Beach ",1,"maxima","20",220,2.4,-23.4443266666667,151.913458333333,106.5,113.5,113.5
"Research Beach ",1,"maxima","13",200,2.4,NA,NA,106.5,93.5,93.5
"Research Beach ",2,"maxima","12.4",40,2.4,-23.4445066666667,151.913023333333,106.5,66.5,66.5
"Research Beach ",2,"maxima","10.7",225,2.4,-23.4445133333333,151.912993333333,106.5,118.5,118.5
"Research Beach ",2,"crocea","17.9",220,2.4,-23.4444416666667,151.913063333333,106.5,113.5,113.5
"Research Beach ",2,"crocea","10.2",119,2.4,-23.444425,151.91306,106.5,12.5,12.5
"Research Beach ",2,"maxima","3.4",120,2.4,-23.444845,151.913223333333,106.5,13.5,13.5
"Research Beach ",2,"maxima","1",230,2.4,-23.4448533333333,151.913208333333,106.5,123.5,123.5
"Research Beach ",2,"maxima","9.3",140,2.4,NA,NA,106.5,33.5,33.5
"Research Beach ",2,"maxima","10.1",110,2.4,-23.4445233333333,151.913276666667,106.5,3.5,3.5
"Research Beach ",2,"maxima","21.1",230,2.4,NA,NA,106.5,123.5,123.5
"Research Beach ",2,"maxima","12.1",250,2.4,NA,NA,106.5,143.5,143.5
"Research Beach ",2,"maxima","22.5",150,2.4,-23.4444733333333,151.913048333333,106.5,43.5,43.5
"Research Beach ",2,"maxima","11.3",270,2.4,-23.4447233333333,151.913165,106.5,163.5,163.5
"Research Beach ",3,"crocea","20.8",130,2.8,-23.44495,151.913248333333,106.5,23.5,23.5
"Research Beach ",3,"crocea","20",340,2.8,-23.4449433333333,151.91326,106.5,233.5,126.5
"Research Beach ",3,"crocea","10.1",45,2.8,-23.445065,151.913291666667,106.5,61.5,61.5
"Research Beach ",3,"crocea","7.3",50,2.8,NA,NA,106.5,56.5,56.5
"Research Beach ",3,"crocea","19.5",140,2.8,-23.4450466666667,151.913273333333,106.5,33.5,33.5
"Research Beach ",3,"crocea","10.7",350,2.8,-23.44503,151.913245,106.5,243.5,116.5
"Research Beach ",3,"maxima","20.4",125,2.8,NA,NA,106.5,18.5,18.5
"Research Beach ",3,"crocea","10.6",110,2.8,NA,NA,106.5,3.5,3.5
"Research Beach ",3,"maxima","24.6",160,2.8,NA,NA,106.5,53.5,53.5
"Research Beach ",3,"maxima","16.5",260,2.8,NA,NA,106.5,153.5,153.5
"Research Beach ",3,"maxima","25",275,2.8,NA,NA,106.5,168.5,168.5
"Research Beach ",3,"maxima","18",190,2.8,NA,NA,106.5,83.5,83.5
"Research Beach ",3,"maxima","22.4",270,2.8,NA,NA,106.5,163.5,163.5
"Research Beach ",3,"maxima","14.5",220,2.8,NA,NA,106.5,113.5,113.5
"Research Beach ",4,"maxima","21.5",175,0.6,-23.4443666666667,151.913163333333,106.5,68.5,68.5
"Research Beach ",4,"maxima","10.6",145,0.6,-23.4443933333333,151.913228333333,106.5,38.5,38.5
"Research Beach ",4,"maxima","17.5",185,0.6,-23.4445683333333,151.913426666667,106.5,78.5,78.5
"Research Beach ",5,"maxima","7.5",180,1.4,-23.44466,151.913645,106.5,73.5,73.5
"Research Beach ",5,"maxima","6.5",236,1.4,-23.4446933333333,151.913776666667,106.5,129.5,129.5
"Research Beach ",5,"maxima","10.2",180,1.4,-23.444775,151.913801666667,106.5,73.5,73.5
"Research Beach ",5,"maxima","13.8",264,1.4,-23.4447916666667,151.913845,106.5,157.5,157.5
"Research Beach ",5,"maxima","9.8",180,1.4,NA,NA,106.5,73.5,73.5
"Research Beach ",5,"maxima","10.2",165,1.4,-23.4448566666667,151.913968333333,106.5,58.5,58.5
"Research Beach ",5,"maxima","12",180,1.4,-23.4448433333333,151.913988333333,106.5,73.5,73.5
"Harbour",6,"maxima","16.4",244,0.4,NA,NA,118.94,125.06,125.06
"Harbour",6,"crocea","18",117,0.4,NA,NA,118.94,1.94,1.94
"Harbour",7,"maxima","13.9",60,2.8,NA,NA,118.94,58.94,58.94
"Harbour",7,"maxima","8.3",242,2.8,NA,NA,118.94,123.06,123.06
"Harbour",7,"maxima","7",270,2.8,NA,NA,118.94,151.06,151.06
"Harbour",7,"crocea","19",261,2.8,NA,NA,118.94,142.06,142.06
"Harbour",7,"maxima","9.9",90,2.8,NA,NA,118.94,28.94,28.94
"Harbour",7,"crocea","24.3",180,2.8,NA,NA,118.94,61.06,61.06
"Harbour",7,"maxima","21.5",185,2.8,NA,NA,118.94,66.06,66.06
"Harbour",7,"maxima","21.4",120,2.8,NA,NA,118.94,1.06,1.06
"Harbour",7,"maxima","16.3",130,2.8,NA,NA,118.94,11.06,11.06
"Harbour",7,"maxima","19.3",262,2.8,NA,NA,118.94,143.06,143.06
"Harbour",7,"maxima","15",60,2.8,NA,NA,118.94,58.94,58.94
"Harbour",7,"crocea","8.7",218,2.8,NA,NA,118.94,99.06,99.06
"Harbour",7,"maxima","25",80,2.8,NA,NA,118.94,38.94,38.94
"Harbour",7,"maxima","16.9",250,2.8,NA,NA,118.94,131.06,131.06
"Harbour",8,"maxima","17",320,3,NA,NA,118.94,201.06,158.94
"Harbour",8,"maxima","20.1",320,3,NA,NA,118.94,201.06,158.94
"Harbour",8,"maxima","25.3",340,3,-23.443025,151.910401666667,118.94,221.06,138.94
"Harbour",8,"maxima","12.9",240,3,-23.443095,151.910341666667,118.94,121.06,121.06
"Harbour",8,"maxima","22.1",260,3,NA,NA,118.94,141.06,141.06
"Harbour",8,"maxima","16.9",280,3,-23.4427816666667,151.910293333333,118.94,161.06,161.06
"Harbour",8,"maxima","6.1",200,3,-23.4429033333333,151.910258333333,118.94,81.06,81.06
"Harbour",8,"crocea","18.4",245,3,-23.4429233333333,151.910305,118.94,126.06,126.06
"Harbour",8,"maxima","15.9",10,3,-23.4428633333333,151.910248333333,118.94,108.94,108.94
"Harbour",8,"maxima","12.7",290,3,-23.442995,151.91032,118.94,171.06,171.06
"Harbour",8,"crocea","15.4",290,3,-23.4430966666667,151.910463333333,118.94,171.06,171.06
"Harbour",8,"maxima","13.2",190,3,-23.4430683333333,151.910495,118.94,71.06,71.06
"Harbour",8,"maxima","18",90,3,NA,NA,118.94,28.94,28.94
"Harbour",8,"maxima","2.8",140,3,NA,NA,118.94,21.06,21.06
"Harbour",8,"maxima","2.7",200,3,NA,NA,118.94,81.06,81.06
"Harbour",9,"maxima","27.8",240,5.6,-23.4430516666667,151.910641666667,118.94,121.06,121.06
"Harbour",9,"maxima","17",320,5.6,NA,NA,118.94,201.06,158.94
"Harbour",9,"maxima","21",240,5.6,-23.44307,151.91062,118.94,121.06,121.06
"Harbour",9,"maxima","8.2",320,5.6,-23.44307,151.9106,118.94,201.06,158.94
"Harbour",9,"maxima","18.9",220,5.6,-23.4430966666667,151.910611666667,118.94,101.06,101.06
"Harbour",9,"maxima","13.5",220,5.6,-23.4430933333333,151.910611666667,118.94,101.06,101.06
"Harbour",9,"maxima","18.7",220,5.6,NA,NA,118.94,101.06,101.06
"Harbour",9,"maxima","17.4",240,5.6,-23.443105,151.910595,118.94,121.06,121.06
"Harbour",9,"maxima","19.1",320,5.6,-23.4431866666667,151.910545,118.94,201.06,158.94
"Harbour",9,"maxima","15.6",240,5.6,-23.4432583333333,151.910508333333,118.94,121.06,121.06
"Harbour",9,"maxima","22.7",220,5.6,-23.4432666666667,151.91052,118.94,101.06,101.06
"Harbour",9,"maxima","13.4",160,5.6,-23.443295,151.91045,118.94,41.06,41.06
"Harbour",9,"maxima","12.6",300,5.6,-23.44327,151.910518333333,118.94,181.06,178.94
"Harbour",9,"maxima","21.9",240,5.6,NA,NA,118.94,121.06,121.06
"Harbour",9,"maxima","27.8",155,5.6,-23.4430716666667,151.910558333333,118.94,36.06,36.06
"Harbour",9,"maxima","27.3",250,5.6,-23.44308,151.910521666667,118.94,131.06,131.06
"Harbour",9,"maxima","26.4",290,5.6,-23.443085,151.910576666667,118.94,171.06,171.06
"Harbour",9,"maxima","19.2",280,5.6,-23.4430933333333,151.910568333333,118.94,161.06,161.06
"Harbour",9,"maxima","24.8",210,5.6,-23.4430883333333,151.910555,118.94,91.06,91.06
"Harbour",9,"maxima","28.2",350,5.6,-23.4430933333333,151.91055,118.94,231.06,128.94
"Harbour",9,"maxima","30.3",219,5.6,-23.4431933333333,151.910538333333,118.94,100.06,100.06
"Harbour",9,"maxima","n/a",230,5.6,-23.4431933333333,151.910526666667,118.94,111.06,111.06
"Harbour",9,"maxima","23.8",160,5.6,-23.44319,151.910526666667,118.94,41.06,41.06
"Harbour",9,"maxima","4.6",230,5.6,-23.44322,151.910516666667,118.94,111.06,111.06
"Harbour",9,"maxima","21",100,5.6,-23.4432166666667,151.910493333333,118.94,18.94,18.94
"Harbour",9,"maxima","29.2",155,5.6,-23.4433333333333,151.910475,118.94,36.06,36.06
"Harbour",9,"maxima","19.6",220,5.6,-23.443455,151.91038,118.94,101.06,101.06
"Harbour",9,"maxima","30",220,5.6,-23.44347,151.910401666667,118.94,101.06,101.06
"Shark Bay",10,"maxima","22.7",110,1,NA,NA,78.57,31.43,31.43
"Shark Bay",10,"maxima","11.3",200,1,NA,NA,78.57,121.43,121.43
"Shark Bay",10,"maxima","16.8",140,1,NA,NA,78.57,61.43,61.43
"Shark Bay",10,"maxima","14.3",160,1,NA,NA,78.57,81.43,81.43
"Shark Bay",10,"maxima","18.2",20,1,NA,NA,78.57,58.57,58.57
"Shark Bay",11,"maxima","10.5",140,2.2,NA,NA,78.57,61.43,61.43
"Shark Bay",11,"maxima","9",155,2.2,NA,NA,78.57,76.43,76.43
"Shark Bay",11,"maxima","10.4",150,2.2,NA,NA,78.57,71.43,71.43
"Shark Bay",11,"maxima","20.7",155,2.2,NA,NA,78.57,76.43,76.43
"Shark Bay",11,"crocea","16.5",134,2.2,NA,NA,78.57,55.43,55.43
"Shark Bay",11,"maxima","15",195,2.2,-23.443845,151.919321666667,78.57,116.43,116.43
"Shark Bay",11,"maxima","18.4",210,2.2,-23.4438833333333,151.919323333333,78.57,131.43,131.43
"Shark Bay",11,"maxima","7.8",255,2.2,-23.4439283333333,151.919226666667,78.57,176.43,176.43
"Shark Bay",11,"maxima","10.7",208,2.2,-23.4439116666667,151.91932,78.57,129.43,129.43
"Shark Bay",11,"maxima","11",155,2.2,-23.4449833333333,151.918553333333,78.57,76.43,76.43
"Shark Bay",11,"maxima","9.82",100,2.2,-23.4443316666667,151.919055,78.57,21.43,21.43
"Shark Bay",12,"crocea","12.2",130,1.8,NA,NA,78.57,51.43,51.43
"Shark Bay",12,"maxima","16.8",64,1.8,-23.444555,151.918225,78.57,14.57,14.57
"Shark Bay",12,"maxima","9.5",90,1.8,-23.444585,151.918205,78.57,11.43,11.43
"Shark Bay",12,"maxima","11.9",166,1.8,-23.444585,151.918205,78.57,87.43,87.43
"Shark Bay",12,"maxima","22.7",250,1.8,-23.4446316666667,151.918318333333,78.57,171.43,171.43
"Shark Bay",12,"maxima","13.3",39,1.8,NA,NA,78.57,39.57,39.57
"Shark Bay",12,"maxima","16.2",160,1.8,-23.444745,151.918516666667,78.57,81.43,81.43
"Shark Bay",12,"maxima","13.9",208,1.8,-23.444855,151.918388333333,78.57,129.43,129.43
"Shark Bay",12,"maxima","14.6",130,1.8,-23.444955,151.918335,78.57,51.43,51.43
"Shark Bay",13,"maxima","17.3",75,2,-23.4443483333333,151.918586666667,78.57,3.56999999999999,3.56999999999999
"Shark Bay",13,"maxima","12.1",210,2,-23.4443633333333,151.9186,78.57,131.43,131.43
"Shark Bay",13,"maxima","17.1",100,2,-23.444405,151.918663333333,78.57,21.43,21.43
"Shark Bay",13,"maxima","15.6",160,2,NA,NA,78.57,81.43,81.43
"Shark Bay",13,"maxima","9.4",170,2,-23.4444216666667,151.918573333333,78.57,91.43,91.43
"Shark Bay",13,"maxima","18.5",158,2,-23.444535,151.918618333333,78.57,79.43,79.43
"Shark Bay",13,"maxima","17",215,2,NA,NA,78.57,136.43,136.43
"Shark Bay",13,"maxima","8",177,2,-23.4446016666667,151.918595,78.57,98.43,98.43
"Shark Bay",13,"maxima","19.7",235,2,NA,NA,78.57,156.43,156.43
"Shark Bay",13,"maxima","15.8",208,2,NA,NA,78.57,129.43,129.43
