Date,Site,Transect #,Transect Meter Mark,Latitude,Longitude,Time Taken,Dead Shell? (Y/N),Species,Length (straight) (cm),Orientation of Clam,Orientation of Shore,Transect Start Loc,Transect End Loc,Density
24-10-25,Research Beach ,1,0.8,23° 26’ 39.774” S,151° 54’ 49.104” E,4:08,n,maxima,12.2,165,206,,,2.4
24-10-25,Research Beach ,1,2.9,23° 26’ 39.864” S,151° 54’ 49.068” E,4:08,n,crocea,20.9,175,,,,2.4
24-10-25,Research Beach ,1,2.9, 23° 26’ 39.732” S,151° 54’ 48.99” E,4:13,n,maxima,10.8,100,,,,2.4
24-10-25,Research Beach ,1,7.7,23° 26’ 39.726” S,151° 54’ 49.002” E,4:13,n,maxima,23.8,205,,,,2.4
24-10-25,Research Beach ,1,24.2,23° 26’ 39.588” S,151° 54’ 48.918” E,4:18,n,crocea,18.4,220,,,,2.4
24-10-25,Research Beach ,1,30,23° 26’ 39.594” S,151° 54’ 48.966” E,4:18,n,maxima,7.9,260,,,,2.4
24-10-25,Research Beach ,1,30.2,23° 26’ 39.432” S,151° 54’ 48.402” E,4:22,n,maxima,11,360,,,,2.4
24-10-25,Research Beach ,1,3.6,N/A,N/A,2:30 AM,n,maxima,21.5,70,,,,2.4
24-10-25,Research Beach ,1,8.9,23° 26’ 39.756” S,151° 54’ 48.69” E,2:38 AM,n,crocea,24,150,,,,2.4
24-10-25,Research Beach ,1,17.69,23° 26’ 39.642” S,151° 54’ 48.33” E,2:44 AM,n,maxima,8.5,200,,,,2.4
24-10-25,Research Beach ,1,18,23° 26’ 39.576” S,151° 54’ 48.45” E,2:45 AM,n,maxima,20,220,,,,2.4
24-10-25,Research Beach ,1,28.65,N/A,N/A,2:57 AM,n,maxima,13,200,,,,2.4
24-10-25,Research Beach ,2,5,23° 26’ 40.224” S,151° 54’ 46.884” E,5:13,n,maxima,12.4,40,,,,2.4
24-10-25,Research Beach ,2,29.6,23° 26’ 40.248” S,151° 54’ 46.776” E,5:15,n,maxima,10.7,225,,,,2.4
24-10-25,Research Beach ,2,31,23° 26’ 39.99” S,151° 54’ 47.028” E,5:27,n,crocea,17.9,220,,,,2.4
24-10-25,Research Beach ,2,29.3,23° 26’ 39.93” S,151° 54’ 47.016” E,5:28,n,crocea,10.2,119,,,,2.4
24-10-25,Research Beach ,2,29.4,23° 26’ 41.442” S,151° 54’ 47.604” E,5:52,n,maxima,3.4,120,,,,2.4
24-10-25,Research Beach ,2,29.2,23° 26’ 41.472” S,151° 54’ 47.55” E,5:53,n,maxima,1,230,,,,2.4
24-10-25,Research Beach ,2,4.8,N/A,,5:08,n,maxima,9.3,140,,,,2.4
24-10-25,Research Beach ,2,5.9,23° 26’ 40.284” S,151° 54’ 47.796” E,5:14,n,maxima,10.1,110,,,,2.4
24-10-25,Research Beach ,2,15.5,N/A,N/A,5:24,n,maxima,21.1,230,,,,2.4
24-10-25,Research Beach ,2,15.7,N/A,N/A,5:28,n,maxima,12.1,250,,,,2.4
24-10-25,Research Beach ,2,22,23° 26’ 40.104” S,151° 54’ 46.974” E,5:32,n,maxima,22.5,150,,,,2.4
24-10-25,Research Beach ,2,29.6,23° 26’ 41.004” S,151° 54’ 47.394” E,5:46,n,maxima,11.3,270,,,,2.4
24-10-25,Research Beach ,3,36.6,23° 26’ 41.82” S,151° 54’ 47.694” E,5:58,n,crocea,20.8,130,,,,2.8
24-10-25,Research Beach ,3,26.9,23° 26’ 41.796” S,151° 54’ 47.736” E,5:58,n,crocea,20,340,,,,2.8
24-10-25,Research Beach ,3,12,23° 26’ 42.234” S,151° 54’ 47.85” E,6:03,n,crocea,10.1,45,,,,2.8
24-10-25,Research Beach ,3,11.9,N/A,,6:03,n,crocea,7.3,50,,,,2.8
24-10-25,Research Beach ,3,16.2,23° 26’ 42.168” S,151° 54’ 47.784” E,6:07,n,crocea,19.5,140,,,,2.8
24-10-25,Research Beach ,3,14,23° 26’ 42.108” S,151° 54’ 47.682” E,6:09,n,crocea,10.7,350,,,,2.8
24-10-25,Research Beach ,3,0.2,N/A,N/A,5:58,n,maxima,20.4,125,,,,2.8
24-10-25,Research Beach ,3,24,N/A,N/A,6:02,n,crocea,10.6,110,,,,2.8
24-10-25,Research Beach ,3,26,N/A,N/A,6:07,n,maxima,24.6,160,,,,2.8
24-10-25,Research Beach ,3,17,N/A,N/A,6:11,n,maxima,16.5,260,,,,2.8
24-10-25,Research Beach ,3,16.8,N/A,N/A,,n,maxima,25,275,,,,2.8
24-10-25,Research Beach ,3,0,N/A,N/A,,n,maxima,18,190,,,,2.8
24-10-25,Research Beach ,3,2.6,N/A,N/A,,n,maxima,22.4,270,,,,2.8
24-10-25,Research Beach ,3,10.28,N/A,N/A,,n,maxima,14.5,220,,,,2.8
24-10-25,Research Beach ,4,1.44,23° 26’ 39.72” S,151° 54’ 47.388” E,3:13 AM,n,maxima,21.5,175,,,,0.6
24-10-25,Research Beach ,4,11.41,23° 26’ 39.816” S,151° 54’ 47.622” E,3:23 AM,n,maxima,10.6,145,,,,0.6
24-10-25,Research Beach ,4,33.6,23° 26’ 40.446” S,151° 54’ 48.336” E,3:33 AM,n,maxima,17.5,185,,,,0.6
24-10-25,Research Beach ,5,1,23° 26’ 40.776” S,151° 54’ 49.122” E,3:47 AM,n,maxima,7.5,180,,,,1.4
24-10-25,Research Beach ,5,15.35,23° 26’ 40.896” S,151° 54’ 49.596” E,3:55 AM,n,maxima,6.5,236,,,,1.4
24-10-25,Research Beach ,5,18.4,23° 26’ 41.19” S,151° 54’ 49.686” E,3:59 AM,n,maxima,10.2,180,,,,1.4
24-10-25,Research Beach ,5,26.5,23° 26’ 41.25” S,151° 54’ 49.842” E,4:03 AM,n,maxima,13.8,264,,,,1.4
24-10-25,Research Beach ,5,39.8,N/A ,N/A,4:07 AM,n,maxima,9.8,180,,,,1.4
24-10-25,Research Beach ,5,37.2,23° 26’ 41.484” S,151° 54’ 50.286” E,4:10,n,maxima,10.2,165,,,,1.4
24-10-25,Research Beach ,5,40.7,23° 26’ 41.436” S,151° 54’ 50.358” E,4:12,n,maxima,12,180,,,,1.4
25-10-25,Harbour,6,7.2,,,4:09 PM,n,maxima,16.4,244,,,,0.4
25-10-25,Harbour,6,0.65,,,4:15 PM,n,crocea,18,117,,,,0.4
25-10-25,Harbour,7,0.66,,,4:45 PM,n,maxima,13.9,60,,,,2.8
25-10-25,Harbour,7,5.2,,,4:47 PM,n,maxima,8.3,242,,,,2.8
25-10-25,Harbour,7,5.5,,,4:50 PM,n,maxima,7,270,,,,2.8
25-10-25,Harbour,7,5.7,,,4:51 PM,n,crocea,19,261,,,,2.8
25-10-25,Harbour,7,8.9,,,4:58 PM,n,maxima,9.9,90,,,,2.8
25-10-25,Harbour,7,15.2,,,5:03 PM,n,crocea,24.3,180,,,,2.8
25-10-25,Harbour,7,16,,,5:06 PM,n,maxima,21.5,185,,,,2.8
25-10-25,Harbour,7,17,,,5:11 PM,n,maxima,21.4,120,,,,2.8
25-10-25,Harbour,7,18,,,5:13 PM,n,maxima,16.3,130,,,,2.8
25-10-25,Harbour,7,20,,,5:16 PM,n,maxima,19.3,262,,,,2.8
25-10-25,Harbour,7,22.5,,,5:19 PM,n,maxima,15,60,,,,2.8
25-10-25,Harbour,7,27.5,,,5:22 PM,n,crocea,8.7,218,,,,2.8
25-10-25,Harbour,7,40,,,5:27 PM,n,maxima,25,80,,,,2.8
25-10-25,Harbour,7,46.9,,,5:30 PM,n,maxima,16.9,250,,,,2.8
25-10-25,Harbour,8,0.5,n/a,,4:05,n,maxima,17,320,,,,3
25-10-25,Harbour,8,1,n/a,,4:14,n,maxima,20.1,320,,,,3
25-10-25,Harbour,8,13.5,23° 26’ 34.89” S,151° 54’ 37.446” E,4:31,n,maxima,25.3,340,,,,3
25-10-25,Harbour,8,3,23° 26’ 35.142” S,151° 54’ 37.23” E,4:40,n,maxima,12.9,240,,,,3
25-10-25,Harbour,8,49,N/A,,3:54,n,maxima,22.1,260,,,,3
25-10-25,Harbour,8,37,23° 26’ 34.014” S,151° 54’ 37.056” E,4:08,n,maxima,16.9,280,,,,3
25-10-25,Harbour,8,33.5,23° 26’ 34.452” S,151° 54’ 36.93” E,4:10,n,maxima,6.1,200,,,,3
25-10-25,Harbour,8,33.4,23° 26’ 34.524” S,151° 54’ 37.098” E,4:16,n,crocea,18.4,245,,,,3
25-10-25,Harbour,8,33.5,23° 26’ 34.308” S,151° 54’ 36.894” E,4:17,n,maxima,15.9,10,,,,3
25-10-25,Harbour,8,23,23° 26’ 34.782” S,151° 54’ 37.152” E,4:23,n,maxima,12.7,290,,,,3
25-10-25,Harbour,8,3,23° 26’ 35.148” S,151° 54’ 37.668” E,4:31,n,crocea,15.4,290,,,,3
25-10-25,Harbour,8,2.9,23° 26’ 35.046” S,151° 54’ 37.782” E,4:34,n,maxima,13.2,190,,,,3
25-10-25,Harbour,8,23,N/A,N/A,4:01,n,maxima,18,90,,,,3
25-10-25,Harbour,8,41,N/A,N/A,4:12,n,maxima,2.8,140,,,,3
25-10-25,Harbour,8,41,N/A,N/A,4:14,n,maxima,2.7,200,,,,3
25-10-25,Harbour,9,1.5,23° 26’ 34.986” S,151° 54’ 38.31” E,5:11,n,maxima,27.8,240,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,2,N/A,N/A,5:15,n,maxima,17,320,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,2,23° 26’ 35.052” S,151° 54’ 38.232” E,5:15,n,maxima,21,240,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,2,23° 26’ 35.052” S,151° 54’ 38.16” E,5:19,n,maxima,8.2,320,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,2.5,23° 26’ 35.148” S,151° 54’ 38.202” E,5:21,n,maxima,18.9,220,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,2.7,23° 26’ 35.136” S,151° 54’ 38.202” E,5:22,n,maxima,13.5,220,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,2.6,N/A,N/A,5:25,n,maxima,18.7,220,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,2.8,23° 26’ 35.178” S,151° 54’ 38.142” E,5:27,n,maxima,17.4,240,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,19,23° 26’ 35.472” S,151° 54’ 37.962” E,5:32,n,maxima,19.1,320,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,29.8,23° 26’ 35.73” S,151° 54’ 37.83” E,5:36,n,maxima,15.6,240,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,29.9,23° 26’ 35.76” S,151° 54’ 37.872” E,5:36,n,maxima,22.7,220,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,27.5,23° 26’ 35.862” S,151° 54’ 37.62” E,5:41,n,maxima,13.4,160,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,27.5,23° 26’ 35.772” S,151° 54’ 37.866” E,5:44,n,maxima,12.6,300,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,28,N/A,N/A,5:44,n,maxima,21.9,240,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,6,23° 26’ 35.058” S,151° 54’ 38.01” E,5:11,n,maxima,27.8,155,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,6.1,23° 26’ 35.088” S,151° 54’ 37.878” E,5:14,n,maxima,27.3,250,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,6.4,23° 26’ 35.106” S,151° 54’ 38.076” E,5:16,n,maxima,26.4,290,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,6.5,23° 26’ 35.136” S,151° 54’ 38.046” E,5:18,n,maxima,19.2,280,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,6.6,23° 26’ 35.118” S,151° 54’ 37.998” E,5:20,n,maxima,24.8,210,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,6.5,23° 26’ 35.136” S,151° 54’ 37.98” E,5:22,n,maxima,28.2,350,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,19.2,23° 26’ 35.496” S,151° 54’ 37.938” E,5:25,n,maxima,30.3,219,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,19.5,23° 26’ 35.496” S,151° 54’ 37.896” E,5:28,n,maxima,n/a,230,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,20,23° 26’ 35.484” S,151° 54’ 37.896” E,5:28,n,maxima,23.8,160,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,22.4,23° 26’ 35.592” S,151° 54’ 37.86” E,5:30,n,maxima,4.6,230,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,23.9,23° 26’ 35.58” S,151° 54’ 37.776” E,5:31,n,maxima,21,100,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,35,23° 26’ 36” S,151° 54’ 37.71” E,5:35,n,maxima,29.2,155,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,42,23° 26’ 36.438” S,151° 54’ 37.368” E,5:37,n,maxima,19.6,220,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,50,23° 26’ 36.492” S,151° 54’ 37.446” E,5:40,n,maxima,30,220,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
26-10-25,Shark Bay,10,0.1,N/A,,3:53,n,maxima,22.7,110,,,,1
26-10-25,Shark Bay,10,3.5,N/A,,3:59,n,maxima,11.3,200,,,,1
26-10-25,Shark Bay,10,15.2,N/A,,4:02,n,maxima,16.8,140,,,,1
26-10-25,Shark Bay,10,17.6,N/A,,4:05,n,maxima,14.3,160,,,,1
26-10-25,Shark Bay,10,26.5,N/A,,4:09,n,maxima,18.2,20,,,,1
26-10-25,Shark Bay,11,0.2,N/A,,3:54,n,maxima,10.5,140,,,"23° 26' 37.44"" S, 151° 55' 9.264"" E",2.2
26-10-25,Shark Bay,11,1,N/A,,4:02,n,maxima,9,155,,,"23° 26' 37.44"" S, 151° 55' 9.264"" E",2.2
26-10-25,Shark Bay,11,2.4,N/A,,4:04,n,maxima,10.4,150,,,"23° 26' 37.44"" S, 151° 55' 9.264"" E",2.2
26-10-25,Shark Bay,11,14.2,N/A,,4:12,n,maxima,20.7,155,,,"23° 26' 37.44"" S, 151° 55' 9.264"" E",2.2
26-10-25,Shark Bay,11,27.6,N/A,,4:18,n,crocea,16.5,134,,,"23° 26' 37.44"" S, 151° 55' 9.264"" E",2.2
26-10-25,Shark Bay,11,31.05,"23° 26' 37.842"" S","151° 55' 9.558"" E",4:21,n,maxima,15,195,,,"23° 26' 37.44"" S, 151° 55' 9.264"" E",2.2
26-10-25,Shark Bay,11,34,"23° 26' 37.98"" S","151° 55' 9.564"" E",4:24,n,maxima,18.4,210,,,"23° 26' 37.44"" S, 151° 55' 9.264"" E",2.2
26-10-25,Shark Bay,11,31,"23° 26' 38.142"" S","151° 55' 9.216"" E",4:27,n,maxima,7.8,255,,,"23° 26' 37.44"" S, 151° 55' 9.264"" E",2.2
26-10-25,Shark Bay,11,37.7,"23° 26' 38.082"" S","151° 55' 9.552"" E",4:31,n,maxima,10.7,208,,,"23° 26' 37.44"" S, 151° 55' 9.264"" E",2.2
26-10-25,Shark Bay,11,42.5,"23° 26' 41.94"" S","151° 55' 6.792"" E",4:34,n,maxima,11,155,,,"23° 26' 37.44"" S, 151° 55' 9.264"" E",2.2
26-10-25,Shark Bay,11,45.9,23° 26’ 39.594” S,151° 55’ 8.598” E,4:35,n,maxima,9.82,100,,,"23° 26' 37.44"" S, 151° 55' 9.264"" E",2.2
27-10-25,Shark Bay,12,1.9,N/A,N/A,6:29,n,crocea,12.2,130,,"23° 26' 40.386"" S, 151° 55' 5.952"" E","23° 26' 41.832"" S, 151° 55' 6.258"" E",1.8
27-10-25,Shark Bay,12,6.85,"23° 26' 40.398"" S","151° 55' 5.61"" E",6:36,n,maxima,16.8,64,,"23° 26' 40.386"" S, 151° 55' 5.952"" E","23° 26' 41.832"" S, 151° 55' 6.258"" E",1.8
27-10-25,Shark Bay,12,7.5,"23° 26' 40.506"" S","151° 55' 5.538"" E",6:36,n,maxima,9.5,90,,"23° 26' 40.386"" S, 151° 55' 5.952"" E","23° 26' 41.832"" S, 151° 55' 6.258"" E",1.8
27-10-25,Shark Bay,12,7.8,"23° 26' 40.506"" S","151° 55' 5.538"" E",6:37,n,maxima,11.9,166,,"23° 26' 40.386"" S, 151° 55' 5.952"" E","23° 26' 41.832"" S, 151° 55' 6.258"" E",1.8
27-10-25,Shark Bay,12,14.35,"23° 26' 40.674"" S","151° 55' 5.946"" E",6:41,n,maxima,22.7,250,,"23° 26' 40.386"" S, 151° 55' 5.952"" E","23° 26' 41.832"" S, 151° 55' 6.258"" E",1.8
27-10-25,Shark Bay,12,28.15,N/A,N/A,6:48,n,maxima,13.3,39,,"23° 26' 40.386"" S, 151° 55' 5.952"" E","23° 26' 41.832"" S, 151° 55' 6.258"" E",1.8
27-10-25,Shark Bay,12,33,"23° 26' 41.082"" S","151° 55' 6.66"" E",6:49,n,maxima,16.2,160,,"23° 26' 40.386"" S, 151° 55' 5.952"" E","23° 26' 41.832"" S, 151° 55' 6.258"" E",1.8
27-10-25,Shark Bay,12,37.7,"23° 26' 41.478"" S","151° 55' 6.198"" E",6:52,n,maxima,13.9,208,,"23° 26' 40.386"" S, 151° 55' 5.952"" E","23° 26' 41.832"" S, 151° 55' 6.258"" E",1.8
27-10-25,Shark Bay,12,49.8,"23° 26' 41.838"" S","151° 55' 6.006"" E",7:00,n,maxima,14.6,130,,"23° 26' 40.386"" S, 151° 55' 5.952"" E","23° 26' 41.832"" S, 151° 55' 6.258"" E",1.8
27-10-25,Shark Bay,13,0.6,23° 26’ 39.654” S,151° 55’ 6.912” E,6:27,n,maxima,17.3,75,,"Latitude: 23° 26’ 39.486” S
Longitude: 151° 55’ 6.954” E",,2
27-10-25,Shark Bay,13,5.45,23° 26’ 39.708” S,151° 55’ 6.96” E,6:31,n,maxima,12.1,210,,"Latitude: 23° 26’ 39.486” S
Longitude: 151° 55’ 6.954” E",,2
27-10-25,Shark Bay,13,5.5,23° 26’ 39.858” S,151° 55’ 7.188” E,6:31,n,maxima,17.1,100,,"Latitude: 23° 26’ 39.486” S
Longitude: 151° 55’ 6.954” E",,2
27-10-25,Shark Bay,13,17,n/a,N/A,6:36,n,maxima,15.6,160,,"Latitude: 23° 26’ 39.486” S
Longitude: 151° 55’ 6.954” E",,2
27-10-25,Shark Bay,13,16.8,23° 26’ 39.918” S,151° 55’ 6.864” E,6:38,n,maxima,9.4,170,,"Latitude: 23° 26’ 39.486” S
Longitude: 151° 55’ 6.954” E",,2
27-10-25,Shark Bay,13,28,23° 26’ 40.326” S,151° 55’ 7.026” E,6:42,n,maxima,18.5,158,,"Latitude: 23° 26’ 39.486” S
Longitude: 151° 55’ 6.954” E",,2
27-10-25,Shark Bay,13,26.7,n/a,N/A,6:46,n,maxima,17,215,,"Latitude: 23° 26’ 39.486” S
Longitude: 151° 55’ 6.954” E",,2
27-10-25,Shark Bay,13,37.8,23° 26’ 40.566” S,151° 55’ 6.942” E,6:53,n,maxima,8,177,,"Latitude: 23° 26’ 39.486” S
Longitude: 151° 55’ 6.954” E",,2
27-10-25,Shark Bay,13,33.3,N/a,N/A,6:54,n,maxima,19.7,235,,"Latitude: 23° 26’ 39.486” S
Longitude: 151° 55’ 6.954” E",,2
27-10-25,Shark Bay,13,40,N/a,N/A,7:00,n,maxima,15.8,208,,"Latitude: 23° 26’ 39.486” S
Longitude: 151° 55’ 6.954” E",,2